city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Čeladná,49.5487,18.3376,Czechia,CZ,Moravskoslezský Kraj,,2868,2868
Terezín,50.5111,14.1506,Czechia,CZ,Ústecký Kraj,,2852,2852
Dolany,49.6499,17.3224,Czechia,CZ,Olomoucký Kraj,,2845,2845
Zákupy,50.6848,14.6453,Czechia,CZ,Liberecký Kraj,,2845,2845
Stará Ves nad Ondřejnicí,49.7277,18.1885,Czechia,CZ,Moravskoslezský Kraj,,2841,2841
Raspenava,50.9042,15.1148,Czechia,CZ,Liberecký Kraj,,2837,2837
Šťáhlavy,49.6756,13.5040,Czechia,CZ,Plzeňský Kraj,,2835,2835
Hrádek,49.7100,13.6542,Czechia,CZ,Plzeňský Kraj,,2824,2824
Jedovnice,49.3446,16.7560,Czechia,CZ,Jihomoravský Kraj,,2824,2824
Ořechov,49.1112,16.5233,Czechia,CZ,Jihomoravský Kraj,,2824,2824
Vestec,49.9806,14.5049,Czechia,CZ,Středočeský Kraj,,2822,2822
Srubec,48.9481,14.5413,Czechia,CZ,Jihočeský Kraj,,2816,2816
Dolní Bousov,50.4383,15.1282,Czechia,CZ,Středočeský Kraj,,2814,2814
Český Dub,50.6606,14.9963,Czechia,CZ,Liberecký Kraj,,2802,2802
Kunštát,49.5065,16.5173,Czechia,CZ,Jihomoravský Kraj,,2798,2798
Líně,49.6948,13.2570,Czechia,CZ,Plzeňský Kraj,,2791,2791
Jevíčko,49.6322,16.7113,Czechia,CZ,Pardubický Kraj,,2790,2790
Městec Králové,50.2072,15.2977,Czechia,CZ,Středočeský Kraj,,2787,2787
Plasy,49.9346,13.3904,Czechia,CZ,Plzeňský Kraj,,2770,2770
Konice,49.5903,16.8891,Czechia,CZ,Olomoucký Kraj,,2753,2753
Hejnice,50.8773,15.1818,Czechia,CZ,Liberecký Kraj,,2730,2730
Javorník,50.3908,17.0028,Czechia,CZ,Olomoucký Kraj,,2725,2725
Mukařov,49.9912,14.7416,Czechia,CZ,Středočeský Kraj,,2710,2710
Mladá Vožice,49.5332,14.8086,Czechia,CZ,Jihočeský Kraj,,2709,2709
Golčŭv Jeníkov,49.8163,15.4769,Czechia,CZ,Vysočina,,2706,2706
Koryčany,49.1064,17.1643,Czechia,CZ,Zlínský Kraj,,2706,2706
Kelč,49.4784,17.8154,Czechia,CZ,Zlínský Kraj,,2699,2699
Velké Hamry,50.7138,15.3155,Czechia,CZ,Liberecký Kraj,,2694,2694
Tuchlovice,50.1381,13.9912,Czechia,CZ,Středočeský Kraj,,2689,2689
Trojanovice,49.5204,18.2380,Czechia,CZ,Moravskoslezský Kraj,,2687,2687
Proboštov,50.6678,13.8361,Czechia,CZ,Ústecký Kraj,,2682,2682
Neveklov,49.7538,14.5330,Czechia,CZ,Středočeský Kraj,,2676,2676
Vrané nad Vltavou,49.9359,14.3771,Czechia,CZ,Středočeský Kraj,,2663,2663
Březová,50.1457,12.6500,Czechia,CZ,Karlovarský Kraj,,2660,2660
Opatovice nad Labem,50.1455,15.7905,Czechia,CZ,Královéhradecký Kraj,,2643,2643
Zbŭch,49.6785,13.2257,Czechia,CZ,Plzeňský Kraj,,2628,2628
Vyšší Brod,48.6161,14.3118,Czechia,CZ,Jihočeský Kraj,,2621,2621
Luže,49.8935,16.0286,Czechia,CZ,Pardubický Kraj,,2619,2619
Litvínovice,48.9621,14.4515,Czechia,CZ,Jihočeský Kraj,,2613,2613
Moravská Nová Ves,48.8031,17.0137,Czechia,CZ,Jihomoravský Kraj,,2613,2613
Nové Sedlo,50.2066,12.7381,Czechia,CZ,Karlovarský Kraj,,2612,2612
Dolní Dobrouč,49.9928,16.4977,Czechia,CZ,Pardubický Kraj,,2604,2604
