city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Šajdíkove Humence,48.6500,17.2667,Slovakia,SK,Trnavský,,1111,1111
Lakšárska Nová Ves,48.5775,17.1850,Slovakia,SK,Trnavský,,1111,1111
Jasenica,49.1797,18.4500,Slovakia,SK,Nitriansky,,1110,1110
Machulince,48.4167,18.4333,Slovakia,SK,Nitriansky,,1108,1108
Skároš,48.5883,21.3750,Slovakia,SK,Košický,,1106,1106
Malý Horeš,48.4000,21.9500,Slovakia,SK,Košický,,1103,1103
Krpeľany,49.1228,19.0822,Slovakia,SK,Žilinský,,1102,1102
Bohdanovce,48.6564,21.4011,Slovakia,SK,Košický,,1100,1100
Koš,48.7450,18.5789,Slovakia,SK,Nitriansky,,1100,1100
Kráľov Brod,48.0603,17.8264,Slovakia,SK,Trnavský,,1097,1097
Slovenské Nové Mesto,48.4008,21.6694,Slovakia,SK,Košický,,1096,1096
Kľušov,49.2481,21.2581,Slovakia,SK,Prešovský,,1096,1096
Baka,47.9056,17.5250,Slovakia,SK,Trnavský,,1096,1096
Malachov,48.7100,19.0900,Slovakia,SK,Banskobystrický,,1095,1095
Hrhov,48.6056,20.7500,Slovakia,SK,Košický,,1093,1093
Podtureň,49.0542,19.6917,Slovakia,SK,Žilinský,,1090,1090
Veľká Lehota,48.4617,18.5606,Slovakia,SK,Banskobystrický,,1090,1090
Kľačno,48.9125,18.6578,Slovakia,SK,Nitriansky,,1089,1089
Príbovce,48.9984,18.8816,Slovakia,SK,Žilinský,,1088,1088
Dulova Ves,48.9528,21.3056,Slovakia,SK,Prešovský,,1088,1088
Kľačany,48.3886,17.8736,Slovakia,SK,Trnavský,,1088,1088
Mojš,49.2000,18.8167,Slovakia,SK,Žilinský,,1086,1086
Čenkovce,48.1000,17.4333,Slovakia,SK,Trnavský,,1086,1086
Ďurčiná,49.0622,18.6542,Slovakia,SK,Žilinský,,1085,1085
Olcnava,48.9264,20.7536,Slovakia,SK,Košický,,1084,1084
Hubová,49.1183,19.1886,Slovakia,SK,Žilinský,,1079,1079
Horná Poruba,48.9411,18.3050,Slovakia,SK,Nitriansky,,1076,1076
Čebovce,48.1803,19.2281,Slovakia,SK,Banskobystrický,,1076,1076
Hrčeľ,48.5225,21.6881,Slovakia,SK,Košický,,1074,1074
Petrova Ves,48.7208,17.1608,Slovakia,SK,Trnavský,,1074,1074
Ratnovce,48.5581,17.8456,Slovakia,SK,Trnavský,,1073,1073
Malé Trakany,48.4011,22.1014,Slovakia,SK,Košický,,1073,1073
Demjata,49.1061,21.3144,Slovakia,SK,Prešovský,,1071,1071
Pohranice,48.3314,18.1839,Slovakia,SK,Nitriansky,,1071,1071
Liptovský Ján,49.0492,19.6769,Slovakia,SK,Žilinský,,1070,1070
Veľké Orvište,48.6206,17.7900,Slovakia,SK,Trnavský,,1069,1069
Hostice,48.2384,20.0659,Slovakia,SK,Banskobystrický,,1069,1069
Tekovské Nemce,48.3558,18.5272,Slovakia,SK,Nitriansky,,1067,1067
Zamarovce,48.9092,18.0511,Slovakia,SK,Nitriansky,,1063,1063
Rakovec nad Ondavou,48.7667,21.7833,Slovakia,SK,Košický,,1063,1063
Kálnica,48.7628,17.9311,Slovakia,SK,Nitriansky,,1063,1063
Veľký Horeš,48.3833,21.9056,Slovakia,SK,Košický,,1062,1062
Trávnica,48.1380,18.3370,Slovakia,SK,Nitriansky,,1059,1059
Kamenný Most,47.8533,18.6542,Slovakia,SK,Nitriansky,,1058,1058
Černík,48.1569,18.2219,Slovakia,SK,Nitriansky,,1057,1057
Kráľovičove Kračany,47.9875,17.5542,Slovakia,SK,Trnavský,,1056,1056
Ladomirová,49.3294,21.6247,Slovakia,SK,Prešovský,,1055,1055
Dolná Strehová,48.2503,19.4883,Slovakia,SK,Banskobystrický,,1054,1054
Malý Slavkov,49.1361,20.3889,Slovakia,SK,Prešovský,,1049,1049
Moravany,48.7389,21.7833,Slovakia,SK,Košický,,1046,1046
Sedlice,48.9192,21.1186,Slovakia,SK,Prešovský,,1044,1044
Kunerad,49.0992,18.7106,Slovakia,SK,Žilinský,,1044,1044
Petrovce nad Laborcom,48.8000,21.8833,Slovakia,SK,Košický,,1042,1042
Hertník,49.2072,21.2383,Slovakia,SK,Prešovský,,1041,1041
Hladovka,49.3667,19.7667,Slovakia,SK,Žilinský,,1041,1041
Abrahám,48.2500,17.6167,Slovakia,SK,Trnavský,,1032,1032
Nededza,49.2208,18.8333,Slovakia,SK,Žilinský,,1029,1029
Smolník,48.7303,20.7400,Slovakia,SK,Košický,,1027,1027
Jablonec,48.3328,17.4489,Slovakia,SK,Bratislavský,,1026,1026
Divinka,49.2528,18.6972,Slovakia,SK,Žilinský,,1024,1024
Jelšovce,48.3844,18.0592,Slovakia,SK,Nitriansky,,1022,1022
Stožok,48.5308,19.3581,Slovakia,SK,Banskobystrický,,1021,1021
Borovce,48.5767,17.7461,Slovakia,SK,Trnavský,,1020,1020
Chmeľov,49.0719,21.4367,Slovakia,SK,Prešovský,,1019,1019
Kružlov,49.3042,21.1333,Slovakia,SK,Prešovský,,1017,1017
Liptovská Teplá,49.1016,19.4091,Slovakia,SK,Žilinský,,1015,1015
Dubovany,48.5333,17.7333,Slovakia,SK,Trnavský,,1013,1013
Chmeľnica,49.2953,20.7314,Slovakia,SK,Prešovský,,1013,1013
Ludrová,49.0472,19.3326,Slovakia,SK,Žilinský,,1012,1012
Stará Lesná,49.1417,20.3139,Slovakia,SK,Prešovský,,1012,1012
Novosad,48.5333,21.7333,Slovakia,SK,Košický,,1010,1010
Snežnica,49.2575,18.7925,Slovakia,SK,Žilinský,,1009,1009
Volkovce,48.3389,18.4556,Slovakia,SK,Nitriansky,,1009,1009
Nemčice,48.5500,18.1222,Slovakia,SK,Nitriansky,,1008,1008
Záhradné,49.0833,21.2667,Slovakia,SK,Prešovský,,1007,1007
Jablonov,49.0172,20.7189,Slovakia,SK,Prešovský,,1007,1007
Prievaly,48.5567,17.3489,Slovakia,SK,Trnavský,,1006,1006
Selec,48.7789,17.9915,Slovakia,SK,Nitriansky,,1006,1006
Richvald,49.2764,21.1944,Slovakia,SK,Prešovský,,1003,1003
Lodno,49.3345,18.8682,Slovakia,SK,Žilinský,,1001,1001
Komárno,48.1167,18.3167,Slovakia,SK,Nitriansky,minor,,
